sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
089-029C;5183.27;842;292;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;116.62929;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635142.679;6169378.765;-58.52657509;-34.61245489;0.022501103
098-001T;26999.12;614;235;21653.62;1;0;0;COMERCIAL ADMINISTRATIVO;1;133.52465;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5650405.288;6169121.915;-58.36018255;-34.61264642;0.004945519
045-143;9950.52;677;334;0;0;0;0;RESIDENCIAL ABIERTO;5;677;CABALLITO;6;5643943.521;6169209.437;-58.43062394;-34.61278428;0.068036645
045-046;11949.63;883;370;6187.3;1;0;0;RESIDENCIAL ABIERTO;5;231.51623;CABALLITO;6;5642858.776;6169235.367;-58.44245111;-34.61270217;0.019374343
089-033A;3633.56;811;334;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;90.83203;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635308.762;6169384.643;-58.5247658;-34.61238004;0.024998082
012-064;1763.77;418;200;0;0;0;0;RESIDENCIAL ABIERTO;5;18.69218;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648448.576;6169203.453;-58.38152261;-34.61219655;0.010597856
012-054;14006.76;720;324;0;0;1;0;RESIDENCIAL ABIERTO;5;375.60153;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648354.011;6169167.195;-58.3825469;-34.61253694;0.026815733
020-040;14143.22;817;393;6916.35;1;0;0;RESIDENCIAL ABIERTO;5;817;BALVANERA - SAN CRISTOBAL;3;5646923.11;6169193.676;-58.3981467;-34.61250413;0.057766195
028-032;14095.03;787;312;1194.01;1;0;0;RESIDENCIAL ABIERTO;5;787;BALVANERA - SAN CRISTOBAL;3;5645621.679;6169190.053;-58.41233031;-34.61272224;0.055835284
028-016;15970.1;1186;568;1194.01;1;1;0;RESIDENCIAL ABIERTO;5;1186;ALMAGRO - BOEDO;5;5645305.183;6169202.372;-58.41578191;-34.61265608;0.07426378
057-113;9977.1;658;227;0;0;1;0;RESIDENCIAL ABIERTO;5;145.27258;CABALLITO;6;5642270.985;6169259.658;-58.44886162;-34.61256492;0.014560602
012-065;2846.94;418;200;728.81;1;0;0;;0;30.17145;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648525.716;6169177.127;-58.38067727;-34.61242262;0.010597852
093-199B;4514.28;641;250;0;0;0;0;RESIDENCIAL ABIERTO;5;92.5978;FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;10;5634970.04;6169392.826;-58.52845901;-34.6123509;0.020512197
045-024;14846.24;774;322;6187.3;1;0;0;RESIDENCIAL ABIERTO;5;299.76177;CABALLITO;6;5642556.336;6169247.662;-58.44574952;-34.61263342;0.02019109
081-006A;7483.17;807;323;0;0;0;0;RESIDENCIAL ABIERTO;5;174.62464;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636991.694;6169348.605;-58.50641691;-34.61248156;0.023335651
020-048;12146.52;516;208;6916.35;1;1;0;RESIDENCIAL ABIERTO;5;516;BALVANERA - SAN CRISTOBAL;3;5647049.769;6169201.285;-58.39676757;-34.61241743;0.042481303
057-098;12247.13;899;334;0;0;0;0;RESIDENCIAL ABIERTO;5;280.45715;CABALLITO;6;5641989.704;6169268.599;-58.45192885;-34.6125233;0.022899826
002-014B;4183.16;759;335;728.81;1;1;0;COMERCIAL ADMINISTRATIVO;1;85.87836;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648904.833;6169174.377;-58.37654488;-34.61239247;0.020529542
067-078;14341.33;921;341;0;0;0;0;RESIDENCIAL ABIERTO;5;311.44701;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639950.907;6169293.792;-58.47415438;-34.61257628;0.021716745
087-080B;4270.36;884;328;0;0;0;0;RESIDENCIAL ABIERTO;5;95.52491;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636407.989;6169378.175;-58.51278374;-34.61229283;0.022369287
059-063;10977.66;777;307;32375.84;1;0;0;GRANDES EQUIPAMIENTOS;3;192.53692;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5641171.039;6169281.185;-58.46085374;-34.61252281;0.017538976
087-068A;5374.23;2218;171;10276.92;1;0;0;RESIDENCIAL ABIERTO;5;129.7403;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636271.459;6169379.373;-58.51427203;-34.61230017;0.024141189
081-018;9274.56;868;319;0;0;0;0;RESIDENCIAL ABIERTO;5;160.69093;FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;10;5637165.573;6169350.821;-58.50452208;-34.61243837;0.01732599
012-074;13966.52;418;200;728.81;1;1;0;RESIDENCIAL ABIERTO;5;148.01513;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648613.808;6169184.121;-58.3797184;-34.61234685;0.010597853
017-038;4543.99;606;293;0;0;0;0;COMERCIAL ADMINISTRATIVO;1;139.80876;ALMAGRO - BOEDO;5;5644339.769;6169269.883;-58.42631549;-34.61218395;0.030767841
057-090B;4576.97;591;243;32375.84;1;0;0;RESIDENCIAL ABIERTO;5;85.15642;CABALLITO;6;5641792.434;6169301.419;-58.45408442;-34.61225482;0.018605414
059-004;14361.48;865;269;3671.97;1;0;0;RESIDENCIAL ABIERTO;5;242.67147;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640700.633;6169286.642;-58.46598172;-34.61253822;0.016897386
087-104B;4470.83;936;325;0;0;0;0;RESIDENCIAL ABIERTO;5;102.74078;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636762.883;6169380.467;-58.50891596;-34.61222495;0.022980248
020-056;13806.4;633;329;6916.35;1;0;0;RESIDENCIAL ABIERTO;5;633;BALVANERA - SAN CRISTOBAL;3;5647173.113;6169208.964;-58.3954246;-34.61233056;0.045848302
087-092B;5025.17;786;297;0;0;0;0;RESIDENCIAL ABIERTO;5;99.56932;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636583.097;6169382.121;-58.51087579;-34.61223399;0.01981412
067-120B;5731.49;996;360;3671.97;1;0;0;RESIDENCIAL ABIERTO;5;119.65929;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640493.209;6169316.012;-58.46824735;-34.61230198;0.020877519
089-029B;3588.15;842;292;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;80.73733;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635192.437;6169418.492;-58.52603907;-34.61209034;0.022501102
002-005;14055.26;759;335;728.81;1;0;0;RESIDENCIAL ABIERTO;5;288.54807;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648743.016;6169191.806;-58.37831153;-34.61225888;0.020529543
059-167B;296.65;1124;431;0;0;0;0;RESIDENCIAL ABIERTO;5;17.35235;CABALLITO;6;5641771.047;6170028.777;-58.45443901;-34.60570347;0.058494354
