sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
067-045;13311.56;838;350;0;0;0;0;RESIDENCIAL ABIERTO;5;279.93857;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639455.52;6169301.208;-58.47955498;-34.61257688;0.021029734
067-011;13906.24;1057;434;0;0;0;0;RESIDENCIAL ABIERTO;5;269.50987;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638957.512;6169308.31;-58.4849841;-34.61258042;0.019380499
079-143B;6440.33;1057;434;0;0;0;0;RESIDENCIAL ABIERTO;5;124.81681;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638740.941;6169333.201;-58.48734866;-34.61238542;0.019380499
079-128B;7418.94;1025;368;0;0;0;0;RESIDENCIAL ABIERTO;5;150.56259;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638457.744;6169328.647;-58.49043459;-34.6124647;0.020294353
067-012A;2755.3;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;78.55869;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638910.032;6169381.159;-58.48551354;-34.61193039;0.028511846
067-034;13854.58;678;267;0;0;1;0;RESIDENCIAL ABIERTO;5;338.67781;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639262.795;6169339.127;-58.48166178;-34.61226135;0.024445188
079-143A;6370.91;1057;434;0;0;0;0;RESIDENCIAL ABIERTO;5;123.47141;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638796.366;6169366.598;-58.48675003;-34.61207698;0.019380498
079-134A;6805.03;972;356;0;0;0;0;RESIDENCIAL ABIERTO;5;145.3295;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638603.362;6169384.069;-58.48885649;-34.61194562;0.021356188
079-128A;7916.12;1025;368;0;0;0;0;RESIDENCIAL ABIERTO;5;160.65254;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638509.617;6169368.27;-58.48987566;-34.61210065;0.020294354
067-012B;2564.83;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;73.12804;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638893.567;6169408.808;-58.48569752;-34.61168347;0.028511847
067-023;13925.53;1057;434;0;0;0;0;RESIDENCIAL ABIERTO;5;269.88372;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639074.319;6169380.016;-58.48372274;-34.61191844;0.019380499
067-057;14541.52;769;288;0;0;0;0;RESIDENCIAL ABIERTO;5;384.26125;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639572.461;6169373.056;-58.47829222;-34.61191355;0.026425109
067-012C;2553.45;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;72.80357;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638876.722;6169435.21;-58.48588544;-34.61144783;0.028511845
067-035A;6210.57;816;337;0;0;0;0;RESIDENCIAL ABIERTO;5;203.83196;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639208.071;6169424.758;-58.48227228;-34.61149713;0.032820169
079-134B;6878.94;972;356;0;0;0;0;RESIDENCIAL ABIERTO;5;146.90794;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638558.1;6169458.936;-58.48936204;-34.61127708;0.021356189
067-012D;2316.19;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;66.03885;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638860.427;6169460.9;-58.48606724;-34.61121854;0.028511845
067-046;13234.79;667;252;0;0;0;0;RESIDENCIAL ABIERTO;5;318.293;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639384.018;6169413.707;-58.48035278;-34.61157284;0.02404972
079-144;11812.13;794;329;0;0;1;0;RESIDENCIAL ABIERTO;5;448.64637;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638701.646;6169455.39;-58.48779692;-34.61128965;0.037981835
067-013A;2079.13;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;62.68994;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638841.308;6169490.949;-58.48628054;-34.61095034;0.030152006
067-035B;6215.13;816;337;0;0;0;0;RESIDENCIAL ABIERTO;5;203.98162;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639173.611;6169478.548;-58.48265668;-34.61101709;0.032820169
067-024B;6083.66;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;173.45638;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638975.112;6169474.022;-58.48481942;-34.61108478;0.028511846
067-013B;2076.56;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;62.61245;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638826.646;6169514.037;-58.48644412;-34.61074428;0.030152006
079-145B;2665.6;794;329;0;0;0;0;RESIDENCIAL ABIERTO;5;101.24438;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638615.832;6169512.48;-58.48874155;-34.6107868;0.037981835
